N: 211, uva: 1.03, uvb: 0.08, uvc: 0.07, temp: 19.20
N: 212, uva: 1.02, uvb: 0.08, uvc: 0.07, temp: 19.20
N: 213, uva: 0.98, uvb: 0.04, uvc: 0.04, temp: 19.20
N: 214, uva: 1.04, uvb: 0.08, uvc: 0.07, temp: 19.20
N: 215, uva: 1.04, uvb: 0.08, uvc: 0.07, temp: 19.20
N: 216, uva: 1.02, uvb: 0.07, uvc: 0.06, temp: 19.20
N: 217, uva: 1.02, uvb: 0.09, uvc: 0.07, temp: 19.15
N: 218, uva: 1.04, uvb: 0.09, uvc: 0.07, temp: 19.20
N: 219, uva: 1.02, uvb: 0.07, uvc: 0.06, temp: 19.15
N: 220, uva: 1.02, uvb: 0.08, uvc: 0.07, temp: 19.20
N: 221, uva: 1.01, uvb: 0.07, uvc: 0.06, temp: 19.20
N: 222, uva: 1.02, uvb: 0.09, uvc: 0.07, temp: 19.20
N: 223, uva: 1.02, uvb: 0.08, uvc: 0.07, temp: 19.20
N: 224, uva: 1.01, uvb: 0.07, uvc: 0.06, temp: 19.15
N: 225, uva: 1.04, uvb: 0.09, uvc: 0.07, temp: 19.20
N: 226, uva: 1.01, uvb: 0.07, uvc: 0.06, temp: 19.20
N: 227, uva: 1.03, uvb: 0.08, uvc: 0.07, temp: 19.20
N: 228, uva: 1.03, uvb: 0.08, uvc: 0.07, temp: 19.20
N: 1, uva: 0.08, uvb: 0.02, uvc: 0.02, temp: 19.05
N: 2, uva: 0.09, uvb: 0.05, uvc: 0.04, temp: 19.15
N: 3, uva: 0.10, uvb: 0.06, uvc: 0.05, temp: 19.15
N: 4, uva: 0.10, uvb: 0.05, uvc: 0.04, temp: 19.15
N: 5, uva: 0.10, uvb: 0.05, uvc: 0.04, temp: 19.15
N: 6, uva: 0.10, uvb: 0.05, uvc: 0.04, temp: 19.20
N: 7, uva: 0.09, uvb: 0.05, uvc: 0.04, temp: 19.15
N: 8, uva: 0.11, uvb: 0.06, uvc: 0.05, temp: 19.25
N: 9, uva: 0.12, uvb: 0.06, uvc: 0.05, temp: 19.20
N: 10, uva: 219.48, uvb: 0.22, uvc: 0.24, temp: 19.25
N: 11, uva: 339.99, uvb: 0.48, uvc: 0.49, temp: 19.25
N: 12, uva: 339.99, uvb: 0.77, uvc: 0.66, temp: 19.25
N: 13, uva: 339.99, uvb: 2.70, uvc: 1.48, temp: 19.25
N: 14, uva: 339.99, uvb: 5.25, uvc: 2.45, temp: 19.25
N: 15, uva: 339.99, uvb: 12.16, uvc: 3.44, temp: 19.30
N: 16, uva: 339.99, uvb: 20.72, uvc: 4.86, temp: 19.30
N: 17, uva: 339.99, uvb: 30.90, uvc: 6.12, temp: 19.25
N: 18, uva: 339.99, uvb: 36.36, uvc: 7.36, temp: 19.30
N: 19, uva: 339.99, uvb: 37.93, uvc: 8.38, temp: 19.30
N: 20, uva: 339.99, uvb: 40.88, uvc: 8.93, temp: 19.30
N: 21, uva: 339.99, uvb: 41.95, uvc: 9.75, temp: 19.30
N: 22, uva: 339.99, uvb: 42.21, uvc: 10.04, temp: 19.30
N: 23, uva: 339.99, uvb: 42.41, uvc: 10.50, temp: 19.35
N: 24, uva: 339.99, uvb: 41.29, uvc: 10.31, temp: 19.35
N: 25, uva: 339.99, uvb: 41.31, uvc: 10.42, temp: 19.35
N: 26, uva: 339.99, uvb: 41.29, uvc: 10.26, temp: 19.40
N: 27, uva: 339.99, uvb: 40.28, uvc: 9.92, temp: 19.35
N: 28, uva: 339.99, uvb: 39.75, uvc: 9.86, temp: 19.40
N: 29, uva: 339.99, uvb: 39.18, uvc: 9.82, temp: 19.40
N: 30, uva: 339.99, uvb: 39.16, uvc: 9.76, temp: 19.40
N: 31, uva: 339.99, uvb: 38.82, uvc: 9.79, temp: 19.40
N: 32, uva: 339.99, uvb: 38.53, uvc: 9.65, temp: 19.45
N: 33, uva: 339.99, uvb: 38.50, uvc: 9.66, temp: 19.40
N: 34, uva: 339.99, uvb: 38.45, uvc: 9.60, temp: 19.45
N: 35, uva: 339.99, uvb: 38.49, uvc: 9.55, temp: 19.45
N: 36, uva: 339.99, uvb: 38.53, uvc: 9.54, temp: 19.45
N: 37, uva: 339.99, uvb: 38.44, uvc: 9.46, temp: 19.45
N: 38, uva: 339.99, uvb: 38.37, uvc: 9.42, temp: 19.45
N: 39, uva: 339.99, uvb: 38.33, uvc: 9.44, temp: 19.45
N: 40, uva: 339.99, uvb: 38.61, uvc: 9.51, temp: 19.50
N: 41, uva: 339.99, uvb: 38.58, uvc: 9.46, temp: 19.50
N: 42, uva: 339.99, uvb: 38.74, uvc: 9.47, temp: 19.50
N: 43, uva: 339.99, uvb: 38.75, uvc: 9.46, temp: 19.50
N: 44, uva: 339.99, uvb: 39.80, uvc: 9.64, temp: 19.55
N: 45, uva: 339.99, uvb: 39.52, uvc: 9.52, temp: 19.50
N: 46, uva: 339.99, uvb: 39.34, uvc: 9.64, temp: 19.55
N: 47, uva: 339.99, uvb: 39.32, uvc: 9.69, temp: 19.55
N: 48, uva: 339.99, uvb: 39.53, uvc: 9.81, temp: 19.55
N: 49, uva: 339.99, uvb: 39.58, uvc: 9.87, temp: 19.55
N: 50, uva: 339.99, uvb: 39.88, uvc: 10.07, temp: 19.60
N: 51, uva: 339.99, uvb: 39.79, uvc: 9.96, temp: 19.55
N: 52, uva: 339.99, uvb: 39.26, uvc: 9.86, temp: 19.55
N: 53, uva: 339.99, uvb: 39.45, uvc: 9.76, temp: 19.55
N: 54, uva: 339.99, uvb: 39.20, uvc: 9.75, temp: 19.60
N: 55, uva: 339.99, uvb: 38.31, uvc: 9.52, temp: 19.60
N: 56, uva: 339.99, uvb: 38.28, uvc: 9.28, temp: 19.60
N: 57, uva: 339.99, uvb: 38.56, uvc: 9.58, temp: 19.65
N: 58, uva: 339.99, uvb: 39.67, uvc: 9.92, temp: 19.60
N: 59, uva: 339.99, uvb: 39.82, uvc: 10.00, temp: 19.65
N: 60, uva: 339.99, uvb: 39.68, uvc: 9.89, temp: 19.65
N: 61, uva: 339.99, uvb: 39.62, uvc: 9.95, temp: 19.65
N: 62, uva: 339.99, uvb: 39.26, uvc: 9.89, temp: 19.65
N: 63, uva: 339.99, uvb: 39.13, uvc: 9.87, temp: 19.65
N: 64, uva: 339.99, uvb: 39.16, uvc: 9.86, temp: 19.65
N: 65, uva: 339.99, uvb: 39.09, uvc: 9.82, temp: 19.65
N: 66, uva: 339.99, uvb: 39.01, uvc: 9.78, temp: 19.65
N: 67, uva: 339.99, uvb: 39.33, uvc: 9.83, temp: 19.70
N: 68, uva: 339.99, uvb: 39.38, uvc: 9.77, temp: 19.70
N: 69, uva: 339.99, uvb: 39.24, uvc: 9.88, temp: 19.70
N: 70, uva: 339.99, uvb: 38.98, uvc: 9.86, temp: 19.70
N: 71, uva: 339.99, uvb: 39.19, uvc: 9.78, temp: 19.70
N: 72, uva: 339.99, uvb: 38.65, uvc: 9.75, temp: 19.75
N: 73, uva: 339.99, uvb: 38.10, uvc: 9.52, temp: 19.70
N: 74, uva: 339.99, uvb: 38.47, uvc: 9.65, temp: 19.70
N: 75, uva: 339.99, uvb: 39.23, uvc: 9.68, temp: 19.75
N: 76, uva: 339.99, uvb: 39.12, uvc: 9.64, temp: 19.75
N: 77, uva: 339.99, uvb: 38.96, uvc: 9.62, temp: 19.75
N: 78, uva: 339.99, uvb: 38.86, uvc: 9.74, temp: 19.75
N: 79, uva: 339.99, uvb: 38.77, uvc: 9.62, temp: 19.80
N: 80, uva: 339.99, uvb: 38.71, uvc: 9.59, temp: 19.80
N: 81, uva: 339.99, uvb: 38.72, uvc: 9.58, temp: 19.80
N: 82, uva: 339.99, uvb: 38.74, uvc: 9.55, temp: 19.80
N: 83, uva: 339.99, uvb: 38.76, uvc: 9.61, temp: 19.80
N: 84, uva: 339.99, uvb: 38.68, uvc: 9.69, temp: 19.85
N: 85, uva: 339.99, uvb: 38.69, uvc: 9.68, temp: 19.80
N: 86, uva: 339.99, uvb: 38.53, uvc: 9.63, temp: 19.80
N: 87, uva: 339.99, uvb: 38.50, uvc: 9.62, temp: 19.85
N: 88, uva: 339.99, uvb: 38.42, uvc: 9.63, temp: 19.85
N: 89, uva: 339.99, uvb: 38.45, uvc: 9.64, temp: 19.85
N: 90, uva: 339.99, uvb: 38.43, uvc: 9.61, temp: 19.85
N: 91, uva: 339.99, uvb: 38.52, uvc: 9.62, temp: 19.85
N: 92, uva: 339.99, uvb: 38.45, uvc: 9.50, temp: 19.90
N: 93, uva: 339.99, uvb: 38.37, uvc: 9.51, temp: 19.90
N: 94, uva: 339.99, uvb: 38.45, uvc: 9.54, temp: 19.90
N: 95, uva: 339.99, uvb: 38.48, uvc: 9.55, temp: 19.90
N: 96, uva: 339.99, uvb: 38.38, uvc: 9.49, temp: 19.90
N: 97, uva: 339.99, uvb: 38.37, uvc: 9.39, temp: 19.90
N: 98, uva: 339.99, uvb: 39.17, uvc: 9.06, temp: 19.90
N: 99, uva: 339.99, uvb: 39.74, uvc: 9.09, temp: 19.90
N: 100, uva: 339.99, uvb: 39.61, uvc: 9.08, temp: 19.95
N: 101, uva: 339.99, uvb: 39.99, uvc: 9.00, temp: 19.90
N: 102, uva: 339.99, uvb: 38.35, uvc: 8.56, temp: 19.95
N: 103, uva: 339.99, uvb: 37.58, uvc: 8.05, temp: 19.95
N: 104, uva: 339.99, uvb: 38.45, uvc: 8.41, temp: 19.95
N: 105, uva: 339.99, uvb: 38.36, uvc: 8.38, temp: 19.95
N: 106, uva: 339.99, uvb: 38.39, uvc: 8.48, temp: 19.95
N: 107, uva: 339.99, uvb: 40.07, uvc: 9.19, temp: 19.95
N: 108, uva: 339.99, uvb: 39.15, uvc: 8.90, temp: 19.95
N: 109, uva: 339.99, uvb: 38.17, uvc: 8.51, temp: 19.95
N: 110, uva: 339.99, uvb: 38.21, uvc: 8.33, temp: 20.00
N: 111, uva: 339.99, uvb: 38.50, uvc: 8.27, temp: 20.00
N: 112, uva: 339.99, uvb: 38.03, uvc: 8.15, temp: 20.00
N: 113, uva: 339.99, uvb: 38.71, uvc: 8.16, temp: 19.95
N: 114, uva: 339.99, uvb: 39.57, uvc: 8.18, temp: 19.95
N: 115, uva: 339.99, uvb: 39.94, uvc: 8.32, temp: 20.00
N: 116, uva: 339.99, uvb: 39.86, uvc: 8.52, temp: 20.00
N: 117, uva: 339.99, uvb: 40.11, uvc: 9.08, temp: 20.00
N: 118, uva: 339.99, uvb: 40.20, uvc: 9.09, temp: 20.00
N: 119, uva: 339.99, uvb: 40.70, uvc: 9.03, temp: 20.00
N: 120, uva: 339.99, uvb: 41.19, uvc: 9.21, temp: 20.00
N: 121, uva: 339.99, uvb: 42.97, uvc: 9.34, temp: 20.05
N: 122, uva: 339.99, uvb: 42.19, uvc: 9.57, temp: 20.00
N: 123, uva: 339.99, uvb: 41.64, uvc: 9.60, temp: 20.00
N: 124, uva: 339.99, uvb: 41.30, uvc: 9.56, temp: 20.00
N: 125, uva: 339.99, uvb: 41.13, uvc: 9.61, temp: 20.05
N: 126, uva: 339.99, uvb: 40.84, uvc: 9.57, temp: 20.05
N: 127, uva: 339.99, uvb: 40.67, uvc: 9.60, temp: 20.05
N: 128, uva: 339.99, uvb: 40.82, uvc: 9.66, temp: 20.05
N: 129, uva: 339.99, uvb: 40.62, uvc: 9.82, temp: 20.10
N: 130, uva: 339.99, uvb: 40.54, uvc: 9.85, temp: 20.05
